DATE,PRCP,SNOW,SNWD,TMIN,TMAX
2/25/1990,0.21,1.8,2,10,33
2/26/1990,0,0,2,7,25
2/27/1990,0,0,1,22,35
2/28/1990,0,0,0,27,39
3/1/1990,0,0,0,23,42
3/2/1990,0,0,0,32,54
3/3/1990,0,0,0,39,53
3/4/1990,0,0,0,23,40
3/5/1990,0,0,0,25,38
3/6/1990,0.44,3.1,1,22,33
3/7/1990,0,0,3,13,35
3/8/1990,0,0,1,25,46
3/9/1990,0,0,0,33,48
3/10/1990,0,0,0,42,53
3/11/1990,0.05,0,0,45,67
3/12/1990,0,0,0,45,60
3/13/1990,0,0,0,43,85
3/14/1990,0,0,0,43,68
3/15/1990,0,0,0,42,77
3/16/1990,0,0,0,55,82
3/17/1990,0.67,0,0,53,72
3/18/1990,0.48,0,0,48,60
3/19/1990,0.01,0,0,42,56
3/20/1990,1.05,0,0,39,51
3/21/1990,0.02,0,0,37,54
3/22/1990,0,0,0,42,58
3/23/1990,0,0,0,36,69
3/24/1990,0,0,0,33,39
3/25/1990,0,0,0,34,49
3/26/1990,0,0,0,33,56
3/27/1990,0,0,0,26,43
3/28/1990,0,0,0,30,53
3/29/1990,0.02,0,0,37,50
3/30/1990,0.86,0,0,36,41
3/31/1990,0.04,0,0,37,49
4/1/1990,0,0,0,42,47
4/2/1990,0,0,0,44,50
4/3/1990,1.42,0,0,41,46
4/4/1990,0,0,0,41,47
4/5/1990,0,0,0,42,58
4/6/1990,0.08,0,0,40,52
4/7/1990,0.25,0.6,1,33,51
4/8/1990,0,0,0,34,50
4/9/1990,0,0,0,40,62
4/10/1990,0.14,0,0,48,70
4/11/1990,0.31,0,0,40,63
4/12/1990,0,0,0,38,54
4/13/1990,0,0,0,33,53
4/14/1990,0.15,0,0,40,54
4/15/1990,1.47,0,0,47,66
4/16/1990,0,0,0,49,69
4/17/1990,0.2,0,0,40,65
4/18/1990,0,0,0,36,54
4/19/1990,0,0,0,41,63
4/20/1990,0.02,0,0,45,67
4/21/1990,0.23,0,0,53,61
4/22/1990,0,0,0,49,73
4/23/1990,0,0,0,56,81
4/24/1990,0,0,0,50,65
4/25/1990,0.15,0,0,48,65
4/26/1990,0,0,0,50,74
4/27/1990,0,0,0,51,91
4/28/1990,0,0,0,69,90
4/29/1990,0.4,0,0,49,73
4/30/1990,0.3,0,0,50,56
5/1/1990,0,0,0,54,83
5/2/1990,0,0,0,54,68
5/3/1990,0,0,0,48,72
5/4/1990,0.23,0,0,49,61
5/5/1990,0.55,0,0,49,69
5/6/1990,0.09,0,0,45,68
5/7/1990,0,0,0,50,70
5/8/1990,0,0,0,50,72
5/9/1990,0,0,0,53,82
5/10/1990,1.67,0,0,56,68
5/11/1990,0,0,0,49,59
5/12/1990,0,0,0,44,64
5/13/1990,0.77,0,0,53,69
5/14/1990,0,0,0,54,76
5/15/1990,0,0,0,56,73
5/16/1990,2.32,0,0,58,63
5/17/1990,0.56,0,0,56,63
5/18/1990,0,0,0,53,69
5/19/1990,0,0,0,51,72
5/20/1990,0.06,0,0,51,67
5/21/1990,0.23,0,0,47,51
5/22/1990,0,0,0,44,65
5/23/1990,0,0,0,48,67
5/24/1990,0,0,0,52,71
5/25/1990,0,0,0,53,79
5/26/1990,0.12,0,0,56,62
5/27/1990,0,0,0,55,70
5/28/1990,0,0,0,56,72
5/29/1990,2.4,0,0,53,60
5/30/1990,0.1,0,0,53,72
5/31/1990,0,0,0,50,76
6/1/1990,0,0,0,61,82
6/2/1990,0,0,0,64,84
6/3/1990,0.05,0,0,68,81
6/4/1990,0,0,0,53,77
6/5/1990,0,0,0,50,73
6/6/1990,0,0,0,56,77
6/7/1990,0.26,0,0,64,84
6/8/1990,0.19,0,0,59,78
6/9/1990,0.19,0,0,62,80
6/10/1990,0,0,0,65,83
6/11/1990,0,0,0,59,72
6/12/1990,0,0,0,55,82
6/13/1990,0.01,0,0,57,84
6/14/1990,0.22,0,0,60,68
6/15/1990,0,0,0,60,81
6/16/1990,0,0,0,60,85
6/17/1990,0,0,0,63,83
6/18/1990,0.48,0,0,65,82
6/19/1990,0.17,0,0,65,83
6/20/1990,0,0,0,62,80
6/21/1990,0.01,0,0,65,77
6/22/1990,0.01,0,0,67,89
6/23/1990,0.04,0,0,70,83
6/24/1990,0,0,0,68,80
6/25/1990,0,0,0,64,80
6/26/1990,0,0,0,63,84
6/27/1990,0,0,0,69,88
6/28/1990,0,0,0,70,89
6/29/1990,0.13,0,0,70,86
6/30/1990,0.74,0,0,69,88
7/1/1990,0.5,0,0,64,84
7/2/1990,0,0,0,65,76
7/3/1990,0,0,0,64,87
7/4/1990,0,0,0,71,93
7/5/1990,0,0,0,76,95
7/6/1990,0,0,0,68,82
7/7/1990,0,0,0,63,83
7/8/1990,0,0,0,65,80
7/9/1990,0.11,0,0,72,93
7/10/1990,0,0,0,73,87
7/11/1990,0.07,0,0,63,76
7/12/1990,0.56,0,0,58,67
7/13/1990,0.33,0,0,57,70
7/14/1990,0,0,0,64,74
7/15/1990,0.41,0,0,68,84
7/16/1990,0,0,0,76,86
7/17/1990,0,0,0,74,89
7/18/1990,0,0,0,72,92
7/19/1990,0,0,0,74,94
7/20/1990,0,0,0,74,91
7/21/1990,1.13,0,0,71,88
7/22/1990,0,0,0,71,85
7/23/1990,0.26,0,0,71,87
7/24/1990,0,0,0,69,83
7/25/1990,0,0,0,70,89
7/26/1990,0,0,0,72,88
7/27/1990,0,0,0,70,82
7/28/1990,0,0,0,71,82
7/29/1990,0,0,0,71,86
7/30/1990,0,0,0,68,84
7/31/1990,0.14,0,0,68,89
8/1/1990,0,0,0,64,85
8/2/1990,0,0,0,64,89
8/3/1990,0,0,0,68,93
8/4/1990,0,0,0,71,92
8/5/1990,0.11,0,0,69,79
8/6/1990,2.3,0,0,68,84
8/7/1990,1.35,0,0,71,85
8/8/1990,0,0,0,68,87
8/9/1990,0.06,0,0,69,82
8/10/1990,4.64,0,0,70,76
8/11/1990,1.5,0,0,68,84
8/12/1990,0,0,0,69,89
8/13/1990,0.43,0,0,69,86
8/14/1990,0.02,0,0,66,85
8/15/1990,0,0,0,68,85
8/16/1990,0,0,0,68,87
8/17/1990,0,0,0,71,91
