date,price,bedrooms,grade,living_in_m2,real_bathrooms,quartile_zone
3/19/2015,235000,3,7,121.70293,1,1
9/5/2014,998000,4,10,350.24431,3,1
12/19/2014,430000,1,7,58.52889,1,4
5/14/2014,300000,3,6,117.05778,1,3
8/14/2014,243500,3,6,196.02533,3,1
2/13/2015,205000,4,7,134.70935,2,1
2/27/2015,170000,2,6,79.89658,1,1
6/20/2014,425000,3,9,235.97362,2,3
8/6/2014,300000,3,8,117.05778,2,3
5/7/2014,255000,5,7,191.38018,2,2
3/16/2015,445000,3,8,161.65122,2,2
2/6/2015,475000,4,7,215.53496,2,3
4/17/2015,605000,4,8,234.11556,2,3
9/19/2014,1050000,3,9,230.39944,2,3
4/24/2015,707000,5,8,283.35415,2,4
7/8/2014,410000,3,7,122.63196,2,3
2/4/2015,399950,4,9,224.82526,2,1
3/20/2015,478000,3,7,133.78032,1,4
9/3/2014,296000,3,7,126.34808,1,1
4/22/2015,638000,3,8,170.01249,1,3
4/9/2015,370350,3,8,124.49002,3,2
6/24/2014,343500,4,7,163.50928,1,1
11/14/2014,490000,3,7,117.05778,1,4
3/25/2015,648000,4,8,201.59951,2,4
1/28/2015,358500,2,8,130.0642,1,3
10/7/2014,505000,4,7,211.81884,3,2
12/3/2014,180000,5,6,135.63838,1,2
7/9/2014,335500,3,6,127.27711,1,2
12/9/2014,480000,5,7,208.10272,3,2
9/3/2014,597000,2,7,229.47041,1,2
11/13/2014,163250,2,6,71.53531,1,2
10/2/2014,346500,4,7,199.74145,2,1
8/11/2014,229000,3,7,127.27711,1,1
5/13/2014,651000,4,8,254.55422,2,4
8/8/2014,219950,2,6,93.83203,1,1
5/5/2014,560000,3,8,176.5157,2,4
12/12/2014,659950,5,9,279.63803,3,2
3/6/2015,1234000,4,8,247.12198,3,4
9/14/2014,600000,4,7,207.17369,2,4
3/11/2015,300000,2,7,102.1933,1,2
10/26/2014,390000,2,7,79.89658,1,3
8/4/2014,435000,3,7,220.18011,2,3
11/24/2014,240000,3,7,110.55457,2,2
10/17/2014,570000,2,7,102.1933,1,4
4/21/2015,671000,4,9,175.58667,2,4
1/29/2015,532000,3,8,170.01249,2,4
3/18/2015,515000,4,8,204.3866,2,3
9/5/2014,345000,2,9,79.89658,2,2
9/3/2014,522500,2,8,132.85129,2,3
3/11/2015,798000,5,9,299.14766,2,4
7/14/2014,980000,4,8,203.45757,2,3
10/7/2014,253000,3,7,187.66406,2,1
10/30/2014,450000,5,8,251.76713,2,2
7/15/2014,600000,3,6,87.32882,1,4
1/5/2015,725000,4,8,185.806,1,3
5/24/2014,440500,3,7,228.54138,2,3
3/20/2015,500000,2,9,181.16085,2,2
5/28/2014,305000,3,7,107.76748,1,4
6/17/2014,616000,4,9,231.32847,2,4
2/3/2015,450000,4,6,182.08988,2,3
6/24/2014,600000,4,7,161.65122,1,3
5/13/2014,819900,5,9,292.64445,2,4
12/31/2014,449000,3,7,154.21898,1,2
1/13/2015,810000,3,7,163.50928,2,4
4/21/2015,660000,4,9,295.43154,2,4
11/19/2014,365500,4,8,188.59309,2,1
8/22/2014,463000,2,7,116.12875,1,2
6/20/2014,915000,3,9,247.12198,3,3
2/11/2015,327555,3,8,216.371087,2,1
6/26/2014,690000,5,8,252.69616,3,3
8/22/2014,1400000,4,9,351.17334,2,4
5/4/2015,1000000,4,8,195.0963,1,3
9/22/2014,400000,4,7,183.94794,1,3
5/11/2015,330000,3,8,133.78032,1,1
4/18/2015,90000,1,4,52.02568,1,1
7/8/2014,1115000,4,10,295.43154,2,4
4/8/2015,965000,4,11,317.72826,2,3
6/17/2014,250000,4,7,167.2254,2,2
1/26/2015,675000,4,9,198.81242,3,3
