saledate,MA,bedrooms
30/09/2007,441854,2
31/12/2007,441854,2
31/03/2008,441854,2
30/06/2008,441854,2
30/09/2008,451583,2
31/12/2008,440256,2
31/03/2009,442566,2
30/06/2009,446113,2
30/09/2009,440123,2
31/12/2009,442131,2
31/03/2010,459222,2
30/06/2010,456822,2
30/09/2010,457806,2
31/12/2010,459109,2
31/03/2011,460758,2
30/06/2011,464788,2
30/09/2011,467546,2
31/12/2011,470333,2
31/03/2012,470365,2
30/06/2012,469149,2
30/09/2012,465919,2
31/12/2012,463090,2
31/03/2013,451077,2
30/06/2013,451516,2
30/09/2013,454270,2
31/12/2013,456548,2
31/03/2014,469920,2
30/06/2014,472726,2
30/09/2014,475326,2
31/12/2014,478413,2
31/03/2015,478398,2
30/06/2015,477238,2
30/09/2015,477330,2
31/12/2015,479010,2
31/03/2016,482440,2
30/06/2016,486436,2
30/09/2016,489104,2
31/12/2016,491152,2
31/03/2017,494544,2
30/06/2017,498846,2
30/09/2017,504592,2
31/12/2017,506578,2
31/03/2018,507248,2
30/06/2018,506116,2
30/09/2018,504318,2
31/12/2018,506001,2
31/03/2019,496133,2
30/06/2019,500158,2
30/09/2019,510712,2
31/03/2007,421291,3
30/06/2007,421291,3
30/09/2007,421291,3
31/12/2007,421291,3
31/03/2008,416031,3
30/06/2008,419628,3
30/09/2008,423811,3
31/12/2008,426488,3
31/03/2009,437724,3
30/06/2009,444351,3
30/09/2009,449742,3
31/12/2009,457394,3
31/03/2010,466433,3
30/06/2010,474590,3
30/09/2010,483176,3
31/12/2010,491715,3
31/03/2011,498022,3
30/06/2011,503891,3
30/09/2011,507090,3
31/12/2011,507744,3
31/03/2012,507449,3
30/06/2012,507014,3
30/09/2012,506615,3
31/12/2012,506615,3
31/03/2013,506380,3
30/06/2013,505739,3
30/09/2013,505823,3
31/12/2013,506406,3
31/03/2014,508499,3
30/06/2014,512374,3
30/09/2014,516618,3
31/12/2014,522103,3
31/03/2015,528926,3
30/06/2015,534927,3
30/09/2015,542051,3
31/12/2015,549278,3
31/03/2016,556586,3
30/06/2016,564267,3
30/09/2016,572582,3
31/12/2016,581485,3
31/03/2017,590949,3
30/06/2017,601041,3
30/09/2017,609355,3
31/12/2017,615743,3
31/03/2018,619638,3
30/06/2018,622466,3
30/09/2018,624602,3
31/12/2018,626608,3
31/03/2019,628423,3
30/06/2019,630814,3
30/09/2019,631875,3
31/03/2007,548969,4
30/06/2007,548969,4
30/09/2007,548969,4
31/12/2007,548969,4
31/03/2008,552484,4
30/06/2008,559580,4
30/09/2008,561852,4
31/12/2008,565467,4
31/03/2009,569682,4
30/06/2009,574680,4
30/09/2009,579369,4
31/12/2009,588379,4
31/03/2010,599614,4
30/06/2010,608528,4
30/09/2010,615603,4
31/12/2010,623105,4
31/03/2011,628969,4
30/06/2011,634155,4
30/09/2011,636582,4
31/12/2011,637421,4
31/03/2012,635411,4
30/06/2012,633695,4
30/09/2012,634803,4
31/12/2012,633875,4
31/03/2013,634229,4
30/06/2013,635515,4
30/09/2013,636687,4
31/12/2013,641125,4
31/03/2014,648174,4
30/06/2014,655757,4
30/09/2014,664635,4
31/12/2014,673762,4
31/03/2015,684006,4
30/06/2015,694800,4
30/09/2015,706711,4
31/12/2015,718261,4
31/03/2016,727736,4
30/06/2016,737159,4
30/09/2016,745430,4
31/12/2016,755683,4
31/03/2017,771216,4
30/06/2017,789732,4
30/09/2017,810694,4
31/12/2017,828058,4
31/03/2018,836056,4
30/06/2018,837295,4
30/09/2018,830727,4
31/12/2018,820924,4
31/03/2019,811121,4
30/06/2019,803925,4
30/09/2019,791446,4
30/09/2007,735904,5
31/12/2007,735904,5
31/03/2008,735904,5
30/06/2008,735904,5
30/09/2008,758340,5
31/12/2008,764025,5
31/03/2009,770046,5
30/06/2009,765555,5
30/09/2009,765515,5
31/12/2009,771280,5
31/03/2010,773355,5
30/06/2010,776325,5
30/09/2010,772699,5
31/12/2010,775199,5
31/03/2011,778470,5
30/06/2011,789627,5
30/09/2011,789614,5
31/12/2011,790965,5
31/03/2012,794533,5
30/06/2012,792171,5
30/09/2012,800432,5
31/12/2012,804474,5
31/03/2013,807826,5
30/06/2013,812224,5
30/09/2013,805066,5
31/12/2013,805682,5
31/03/2014,811908,5
30/06/2014,820368,5
30/09/2014,843904,5
31/12/2014,855039,5
31/03/2015,866489,5
30/06/2015,880625,5
30/09/2015,891981,5
31/12/2015,909131,5
31/03/2016,923594,5
30/06/2016,933589,5
30/09/2016,952327,5
31/12/2016,968331,5
31/03/2017,980953,5
30/06/2017,995349,5
30/09/2017,1004117,5
31/12/2017,1010848,5
31/03/2018,1015529,5
30/06/2018,1017752,5
30/09/2018,1007114,5
31/12/2018,1002323,5
31/03/2019,998136,5
30/06/2019,995363,5
30/09/2019,970268,5
